,logname,size MB,duration s
78,5766a6f04d238b1e3b7d2f6c.log,0.933835,0.8144893646240234
79,5766b0a9afa9b66d56c8fbea.log,2.013107,0.7163136005401611
80,5766b3d0afa9b66d56c8fbeb.log,1.144171,0.9124493598937988
81,5766b4a7512a35f064912840.log,2.492162,2.547252655029297
82,5766b820512a35f064912841.log,4.302448,3.178095817565918
83,5766bfe0512a35f064912844.log,3.034689,1.5467004776000977
84,5766c842512a35f064912845.log,1.979361,1.9745423793792725
85,5766d4bf512a35f064912847.log,0.943035,0.48169398307800293
86,5766d969512a35f064912848.log,1.556007,0.5853545665740967
87,5766d9b8512a35f064912849.log,1.334697,0.46567773818969727
88,5766da41512a35f06491284c.log,1.958301,0.7452521324157715
89,5766daca512a35f06491284e.log,0.111358,0.12038087844848633
90,5766db06512a35f06491284f.log,1.217136,0.4590339660644531
91,5766db47512a35f064912850.log,0.539457,0.24159646034240723
92,5766dbac512a35f064912851.log,1.35818,0.5762238502502441
93,5766e2eb512a35f064912853.log,2.543889,1.9228630065917969
94,5766e824512a35f064912856.log,1.790133,0.5797255039215088
95,5766ed57512a35f064912857.log,0.906986,0.974801778793335
96,5766ed8f512a35f064912858.log,0.420847,0.24393057823181152
97,5766edf93df95f353c6350df.log,3.765231,1.6622068881988525
98,5766f5443df95f353c6350e0.log,2.317933,1.633810043334961
99,576706e03df95f353c6350e1.log,14.743592,2.635427951812744
100,576706f53df95f353c6350e2.log,14.743532,3.200357675552368
101,576768393df95f353c6350e3.log,5.734855,4.617025852203369
102,5767834f31809e1e164332f4.log,7.978275,2.113203287124634
103,5767c18a58b32fc7268f9a13.log,2.896509,1.3195209503173828
104,5767c86758b32fc7268f9a14.log,0.191425,0.15934181213378906
105,5767c91258b32fc7268f9a15.log,0.805736,0.35355377197265625
106,5767cf5758b32fc7268f9a17.log,1.697426,1.1966941356658936
107,5767d0828cd19b1211422626.log,3.817371,1.7817707061767578
108,5767f9408cd19b1211422627.log,8.88266,1.8186333179473877
109,5767faae8cd19b1211422628.log,19.655008,2.887643814086914
110,576802cf8cd19b1211422629.log,4.459978,1.363468885421753
111,576805fc8cd19b121142262a.log,1.148083,0.427562952041626
112,576814e6b417477362f300f1.log,0.991632,0.18277931213378906
113,576824d972ee277c7e5a243f.log,1.641368,0.5732028484344482
114,5768261072ee277c7e5a2440.log,1.162799,0.44110751152038574
115,5768265172ee277c7e5a2441.log,1.163852,0.42445898056030273
116,576826af72ee277c7e5a2442.log,1.152879,0.5270757675170898
